CALO25  0  1  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  2  1  1  0
CALO26  0  0  0  0  2  0  0  0  2  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  0  0  0
CALO27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO)
FWD+       0    20    79   197     0     1     1    21     0
FWD+       1     5    51   215     0     1     2     7     0
FWD+       2    60   111   120     0     1     1    61     0
FWD+       3    40   207   129     0     1     1    41     0
FWD+       4   240   175   210     1     1     3   243     0
FWD+       5    28   131   183     0     1     3    31     0
FWD+       6     7   251   179     1     1     3    10     0
FWD+       7    24   235   201     1     1     3    27     0
FWD+       8     0     0     0     0     0     0     0     1
FWD+       9    70   319   201     1     1     1    71     0
FWD+      10    24   367   197     1     1     3    27     0
FWD+      11     5   323   160     1     1     1     6     0
FWD+      12   240   467   192     0     1     3   243     0
FWD+      13    24   419   179     0     1     3    27     0
FWD+      14     0     0     0     0     0     0     0     1
FWD+      15   240     0   210     1     1     3   243     0
FWD+      16   240   519   215     1     1     3   243     0
FWD+      17    24   547   165     0     1     3    27     0
OVL+       0    32    67    96     1     1     3    35     0
OVL+       1   240   119   106     0     1     1   241     0
OVL+       2    70    83    86     1     1     2    72     0
OVL+       3   280   195    90     0     1     2   282     0
OVL+       4    40   171    90     0     1     2    42     0
OVL+       5     0     0     0     0     0     0     0     1
OVL+       6    16   283    72     1     1     2    18     0
OVL+       7    32   267    90     0     1     2    34     0
OVL+       8     0     0     0     0     0     0     0     1
OVL+       9   280   379    96     0     1     3   283     0
OVL+      10    24   347    72     0     1     2    26     0
OVL+      11    36   315    96     0     1     3    39     0
OVL+      12     8   427    86     0     1     3    11     0
OVL+      13     6   495    97     1     1     3     9     0
OVL+      14     0     0     0     0     0     0     0     1
OVL+      15    24    15    90     0     1     6    30     0
OVL+      16    24   547   106     1     1     3    27     0
OVL+      17   140   515   101     0     1     1   141     0
BAR        0    90    15   -59     0     1     3    93     0
BAR        1    90   567   -39     0     1     3    93     0
BAR        2   120   571    45     0     1     3   123     0
BAR        3    40    43    45     0     1     3    43     0
BAR        4    32    27   -21     0     1     3    35     0
BAR        5    24    47   -45     1     1     7    31     0
BAR        6    24   103   -62     0     1     5    29     0
BAR        7     0     0     0     0     0     0     0     1
BAR        8     0     0     0     0     0     0     0     1
BAR        9    32   127    49     1     1     4    36     0
BAR       10    60   123   -11     1     1     2    62     0
BAR       11    36   147   -31     0     1     5    41     0
BAR       12   280   199    45     1     1     3   283     0
BAR       13    12   179     4     0     1     6    18     0
BAR       14   100   207     0     1     1     3   103     0
BAR       15    28   243     0     1     1     3    31     0
BAR       16     9   259    45     0     1     3    12     0
BAR       17    40   223    69     1     1     2    42     0
BAR       18     0     0     0     0     0     0     0     1
BAR       19     0     0     0     0     0     0     0     1
BAR       20     0     0     0     0     0     0     0     1
BAR       21    36   327     0     0     1     3    39     0
BAR       22    24   327   -66     1     1     3    27     0
BAR       23    28   331   -41     1     1     7    35     0
BAR       24   280   379   -11     0     1     3   283     0
BAR       25     0     0     0     0     0     0     0     1
BAR       26     0     0     0     0     0     0     0     1
BAR       27    70   415   -66     1     1     2    72     0
BAR       28    40   427    45     1     1     3    43     0
BAR       29    36   427   -28     0     1     4    40     0
BAR       30    32   459   -35     0     1     2    34     0
BAR       31    40   467   -18     1     1     3    43     0
BAR       32    12   499    59     0     1     3    15     0
BAR       33    24   519    28     0     1     2    26     0
BAR       34   120   551    45     1     1     3   123     0
BAR       35     0     0     0     0     0     0     0     1
OVL-       0    32    47   -86     0     1     3    35     0
OVL-       1    32    75   -72     1     1     2    34     0
OVL-       2     0     0     0     0     0     0     0     1
OVL-       3    10   135   -80     1     1     6    16     0
OVL-       4    28   143  -106     0     1     3    31     0
OVL-       5    90   167   -86     1     1     3    93     0
OVL-       6    70   235   -86     0     1     3    73     0
